rental_office_number,rental_office_name_kor,ward_kor,location_kor,location_eng,latitude,longitude,holder_LCD,holder_QR
200,국회의원회관,영등포구,서울특별시 영등포구 의사당대로 1,,37.52841568,126.9139175,,18
201,진미파라곤 앞,영등포구,서울특별시 영등포구 국회대로76길 10,,37.53123856,126.9213333,,15
202,국민일보 앞,영등포구,서울특별시 영등포구 여의공원로 101,,37.52881622,126.92453,,30
203,국회의사당역 3번출구 옆,영등포구,서울특별시 영등포구 국회대로 지하758,,37.5280571,126.9187012,,15
204,국회의사당역 5번출구 옆,영등포구,서울특별시 영등포구 의사당대로 8,,37.52816391,126.9170227,,13
205,산업은행 앞,영등포구,서울특별시 영등포구 의사당대로 97,,37.52626419,126.9205093,,20
206,KBS 앞,영등포구,서울특별시 영등포구 여의공원로 13,,37.52466583,126.9180222,,35
207,여의나루역 1번출구 앞,영등포구,서울특별시 영등포구 여의동로 지하343,,37.52715683,126.9319,46,
209,유진투자증권빌딩 앞,영등포구,서울특별시 영등포구 국제금융로 24,,37.52461243,126.9278336,,12
211,여의도역 4번출구 옆,영등포구,서울특별시 영등포구 국회대로68길 7,,37.52222824,126.9246368,13,
212,여의도역 1번출구 옆,영등포구,서울특별시 영등포구 의사당대로 88,,37.5213623,126.9234619,35,
213,KT앞,영등포구,서울특별시 영등포구 여의대로 38,,37.52190781,126.9189529,,19
214,금융감독원 앞,영등포구,서울특별시 영등포구 여의대로 38,,37.5230217,126.9208374,,21
215,여의도고교 앞,영등포구,서울특별시 영등포구 국제금융로7길 37,,37.52483749,126.934906,,10
217,NH농협은행 앞,영등포구,서울특별시 영등포구 국제금융로8길 2,,37.52207947,126.9303665,,9
219,롯데캐슬엠파이어 옆,영등포구,서울특별시 영등포구 의사당대로 127,,37.52069473,126.9258347,,12
220,미성아파트 A동 앞,영등포구,서울특별시 영등포구 의사당대로 110,,37.5193634,126.9260483,,30
221,여의도초교 앞,영등포구,서울특별시 영등포구 여의대방로 439,,37.52267456,126.9377899,,10
222,시범아파트버스정류장 옆,영등포구,서울특별시 영등포구 63로 45,,37.51943588,126.9375992,,12
223,진주아파트상가 앞,영등포구,서울특별시 영등포구 국제금융로 108-6,,37.51931381,126.9331665,,20
224,롯데캐슬 앞,영등포구,서울특별시 영등포구 국제금융로 86,,37.5200882,126.9323654,,20
225,앙카라공원 앞,영등포구,서울특별시 영등포구 의사당대로 지하166,,37.51736832,126.9292526,,26
226,샛강역 1번출구 앞,영등포구,서울특별시 영등포구 의사당대로 지하166,,37.51776505,126.9284134,,19
227,양평2나들목 보행통로 입구,영등포구,서울특별시 영등포구 양화동 17-4,,37.54466629,126.8883591,10,
228,선유도역 3번출구 앞,영등포구,서울특별시 영등포구 양평동4가 202-1,,37.53845978,126.8945084,,10
229,양평1 보행육교 앞,영등포구,서울특별시 영등포구 양평동4가 20-4,,37.53587341,126.8921814,25,
230,영등포구청역 1번출구,영등포구,서울특별시 영등포구 당산로 111-2,,37.52463531,126.8962174,10,
231,남부고용노동지청 남측,영등포구,서울특별시 영등포구 양평동1가 115-2,,37.52450562,126.8918228,10,
232,양평우림 이비즈센타 앞,영등포구,서울특별시 영등포구 양평동3가 14-1,,37.52565002,126.8878174,20,
233,양평1동 YP센터 앞,영등포구,서울특별시 영등포구 양평동3가 60-1,,37.52848816,126.8916473,10,
234,영등포구민체육센터 앞,영등포구,서울특별시 영등포구 신길동 399 ,,37.50046158,126.9058456,10,
235,신길동 우리은행 옆,영등포구,서울특별시 영등포구 신길동 250-4 ,,37.50456619,126.9102325,10,
236,문래동자이아파트 앞,영등포구,서울특별시 영등포구 문래동3가 68-1,,37.51615524,126.8946152,10,
238,제2구민체육센타 앞,영등포구,서울특별시 영등포구 당산동4가 96-2,,37.52638626,126.9027557,10,
239,유스호스텔 앞,영등포구,서울특별시 영등포구 영등포동7가 58-2,,37.5258522,126.9032822,20,
240,문래역 4번출구 앞,영등포구,서울특별시 영등포구 문래동3가 55-12 ,,37.51873779,126.8955765,10,
241,신길우성1차아파트 앞 공원,영등포구,서울특별시 영등포구 도림동 255-2 ,,37.50501633,126.8985367,,10
242,신길선원가와인아파트 앞,영등포구,서울특별시 영등포구 신길동 215-28 ,,37.51093292,126.9102249,15,
243,이앤씨드림타워 앞,영등포구,서울특별시 영등포구 양평동3가 48-1,,37.52708435,126.8913803,15,
244,영등포삼환아파트 앞,영등포구,서울특별시 영등포구 영등포동8가 82-4 ,,37.53007889,126.9057083,20,
245,삼성생명 당산사옥 앞,영등포구,서울특별시 영등포구 당산동4가 35-24 ,,37.52826309,126.8966293,10,
247,당산역 10번출구 앞,영등포구,서울특별시 영등포구 당산동5가 14-4,,37.53368759,126.9021072,,15
248,초원아파트 앞,영등포구,서울특별시 영등포구 여의도동8-13,,37.53105545,126.9242096,10,
249,여의도중학교 옆,영등포구,서울특별시 영등포구 여의도동 8,,37.52434921,126.9361191,,16
250,대림아파트 사거리,영등포구,서울특별시 영등포구 신길동 249,,37.50764084,126.9230804,10,
251,서울지방병무청 버스정류장,영등포구,서울특별시 영등포구 신길동853,,37.50449371,126.9219513,10,
252,보라매역4번출구,영등포구,서울특별시 영등포구 신길동4884,,37.49982834,126.9199448,10,
253,신풍역 5번출구 인근,영등포구,서울특별시 영등포구 신길동3596,,37.5006485,126.9095154,10,
254,도림신협 앞,영등포구,서울특별시 영등포구 신길동263-76,,37.50380325,126.9034195,10,
255,도림사거리,영등포구,서울특별시 영등포구 신길동373-1,,37.50657272,126.9011307,15,
256,동아에코빌입구,영등포구,서울특별시 영등포구 도림동 159-70,,37.50947571,126.8992996,10,
258,신길역3번출구,영등포구,서울특별시 영등포구 영등포동1가35,,37.51769257,126.914299,14,
259,대방역6번출구,영등포구,서울특별시 영등포구 신길동1368,,37.51359177,126.9259338,17,
260,여의도 마리나선착장 앞,영등포구,서울특별시 영등포구 여의서로 160,,37.53365707,126.9121628,15,
262,영문초등학교 사거리,영등포구,서울특별시 영등포구 문래로 56,,37.51992798,126.889183,12,
263,근로자회관 사거리,영등포구,서울특별시 영등포구 선유로 34,,37.51715088,126.8886261,12,
264,교보생명보험 앞,영등포구,서울특별시 영등포구 영등포로 96,,37.52193069,126.8916168,15,
265,영등포유통상가 사거리,영등포구,서울특별시 영등포구 영등포로 124,,37.52113342,126.8965378,15,
266,영등포청과시장 사거리,영등포구,서울특별시 영등포구 영등포로 177,,37.52029419,126.9011917,10,
267,삼성화재 사옥 옆,영등포구,서울특별시 영등포구 양평로 76,,37.53596115,126.8983002,10,
268,그랜드컨벤션센터 앞,영등포구,서울특별시 영등포구 양평로 58,,37.53471756,126.9000015,6,
270,증권거래소후문교차로,영등포구,서울특별시 영등포구 여의나루로 76,,37.52234268,126.9271011,,10
271,샛강생태공원방문자센터 앞,영등포구,서울특별시 영등포구 여의동로 48,,37.51896286,126.9216156,10,
272,당산육갑문,영등포구,서울특별시 영등포구 당산로52길 3,,37.53533936,126.9036789,20,
274,영등포역지하쇼핑센타 5번출구,영등포구,서울특별시 영등포구 경인로 846,,37.51626968,126.9068604,10,
275,신동아아파트,영등포구,서울특별시 영등포구 선유서로 76,,37.52222061,126.885582,10,
276,SK 영등포주유소,영등포구,서울특별시 영등포구 경인로112길 1,,37.51828384,126.9126358,10,
277,영등포뉴타운지하상가 2번게이트,영등포구,서울특별시 영등포구 영중로 22,,37.52011871,126.9051666,10,
278,쌍용플레티넘오피스텔,영등포구,서울특별시 영등포구 도영로 18,,37.50793076,126.8952332,10,
279,영등포 푸르지오 아파트,영등포구,서울특별시 영등포구 도신로29길 28,,37.51322937,126.9044647,,15
280,양평동6차현대아파트 앞,영등포구,양평동 3가 80-9,,37.53210068,126.8944397,10,
281,신동아아파트 앞,영등포구,가마산로 311 앞 복개천 보도,,37.49824142,126.8939819,8,
282,신한은행 대림동지점,영등포구,시흥대로 617,,37.48752975,126.9048767,10,
283,아크로타워 스퀘어(영등포시장),영등포구,영등포구 영등포동7가 3-2,,37.52251816,126.9072189,15,
284,센트럴 푸르지오 시티 앞,영등포구,문래로 180,,37.51821136,126.9022293,12,
285,대림3동사거리(하나은행),영등포구,가마산로 343,,37.49985886,126.8972397,14,
286,우성아파트 교차로,영등포구,대림로 153 ,,37.49457169,126.8997498,8,
287,영등포전화국사거리 (서강어린이공원),영등포구,영등포동8가 29-1,,37.52576828,126.9057388,10,
288,쌍용예가(구청별관),영등포구,당산로31길 32 서측(구청별관 주변),,37.52809906,126.8933868,10,
289,대림3동사거리,영등포구,가마산로 352 커피베이 앞,,37.49980927,126.8980026,10,
290,당산동 SK V1 빌딩,영등포구,영등포구 당산동4가 89-1,,37.5315094,126.8978272,12,
291,문래동 하이테크 시티,영등포구,영등포구 문래동3가 55-21,,37.51385117,126.89888,14,
292,영일 어린이공원,영등포구,영등포구 영등포동 647-3,,37.51012039,126.904068,10,
293,충북 미래관,영등포구,영등포구 당산동 121-258,,37.52917099,126.9075775,15,
295,영등포공원 분수대 앞,영등포구,영등포구 신길로 275,,37.51481247,126.911705,,10
296,KT플라자 영등포점,영등포구,영등포구 영중로 119,,37.52630234,126.9053803,,15
297,국회3문,영등포구,영등포구 여의동로 330,,37.52863693,126.912674,,10
298,KBS 연구동 건너편,영등포구,영등포구 여의도동 1-877,,37.52750778,126.914299,,25
299,여의도 순복음교회,영등포구,영등포구 여의도동 8,,37.53179169,126.9224548,,10
3201,당산skv1센터,영등포구,영등포구 당산로41길 11,,37.53073502,126.8991699,,9
3202,당산롯데캐슬프레스티지,영등포구,영등포구 영신로 237,,37.52869034,126.903862,,15
3203,도림동배드민턴체육관,영등포구,영등포구 도림동 276-2,,37.50611496,126.8985901,,10
3204,도림고가도로 밑,영등포구,영등포구 도림동 187-68,,37.51124191,126.8981857,,10
3205,문래중학교,영등포구,영등포구 선유서로13길 6,,37.5202179,126.882164,,10
3206,문래동 주민센터,영등포구,영등포구 문래동3가 55-6,,37.51707077,126.899086,,15
3207,양남사거리 1,영등포구,영등포구 양평동1가 19-2,,37.5218277,126.8897247,,10
3211,신길 래미안 프레비뉴,영등포구,영등포구 가마산로 442,,37.50438309,126.9080887,,10
3212,신풍역 6번출구,영등포구,영등포구 신풍로 43,,37.50017166,126.9113083,,10
3214,영등포 푸르지오,영등포구,도신로29길 28,,37.51202393,126.9010544,,10
3215,강변삼성래미안,영등포구,영등포구 버드나루로 130,,37.52974319,126.9078293,,15
3220,래미안에스티움(신풍로) 앞,영등포구,신풍로77(GS25),,37.50013733,126.9139786,,20
3221,서울특별시 남부교육지원청,영등포구,영등포구 문래로121,,37.51933289,126.8953018,,10
4552,코레일유통본사,영등포구,영등포구 국회대로 612,,37.52617645,126.9019775,,10
4553,당산삼성2차아파트,영등포구,영등포구 당산동4가 94-1,,37.52762222,126.8986359,,10
4555,대림우성2차아파트,영등포구,영등포구 도림로47길 1,,37.49519348,126.900177,,10
4556,리버뷰신안인스빌1차 후문,영등포구,영등포구 경인로77길 49,,37.51374817,126.8885117,,10
4557,리버뷰신안인스빌2차 후문,영등포구,영등포구 도림로143길 27,,37.51288223,126.8902664,,10
4558,대영중고 후문,영등포구,영등포구 가마산로 426,,37.50545502,126.9062653,,10
4559,신길역 2번출구,영등포구,영등포구 신길동 42-7 ,,37.51756287,126.9169846,,10
4560,양평동성원아파트,영등포구,영등포구 양평로17길 36,,37.53374481,126.8936539,,10
4561,양평역 1번출구,영등포구,영등포구 양평동3가 22-1,,37.52572632,126.8860016,,10
4563,여의도 은하아파트,영등포구,영등포구 여의도동 52,,37.51850891,126.9344864,,10
4564,63스퀘어,영등포구,영등포구 여의도동 6,,37.52070999,126.9396591,,9
4565,영등포 신세계백화점,영등포구,영등포구 영등포4가 442-6,,37.51803589,126.9036484,,10
4566,대림성원상떼빌아파트,영등포구,영등포구 대림로 256,,37.5038414,126.8961563,,8
4567,한림대학교 강남성심병원 신관,영등포구,영등포구 시흥대로 665,,37.49128342,126.90802,,10
4568,영등포로터리,영등포구,영등포구 영등포동2가 174-1,,37.51874924,126.9122086,,10
4569,힐스테이트클래시안아파트,영등포구,영등포구 신길동 242-193,,37.50508881,126.9133453,,10
4571,문래동롯데캐슬아파트,영등포구,영등포구 선유로9길 30,,37.51800156,126.8845978,,9
4573,두산위브아파트,영등포구,영등포구 신길로60나길 9,,37.51470184,126.9121399,,10
4574,영등포시장역 포레나영등포,영등포구,영등포구 영등포동7가 23-4,,37.52341461,126.9054031,,9
4575,대림동 e편한세상영등포아델포레,영등포구,영등포구 대림동 917-49,,37.49582291,126.9083557,,5
4576,보라매sk뷰 108동 앞,영등포구,여의대방로35가길19(신길동),,37.50160599,126.91745,,15
4578,보라매sk뷰,영등포구,여의대방로35가길19(신길동),,37.50400543,126.9202805,,10
4579,국회의사당 본관,영등포구,국회의사당 경내,,37.5325737,126.9140472,,12
4580,국회 3문,영등포구,국회의사당 경내,,37.52974701,126.9131699,,12
4581,국회 소통관,영등포구,국회의사당 경내,,37.53050232,126.9128952,,8
4582,국회도서관,영등포구,국회의사당 경내,,37.53054047,126.9181747,,6
4583,의정관,영등포구,국회의사당 경내,,37.53214645,126.9174728,,12
4584,국회 2문,영등포구,국회의사당 경내,,37.52864075,126.9151077,,6
4585,국회 6문,영등포구,국회의사당 경내,,37.53271866,126.9179916,,6
4588,양남사거리 2,영등포구,양평1가 19-2,,37.52194977,126.8904953,,5
4589,KRX한국거래소(1),영등포구,영등포구 여의나루로 76,,37.52347946,126.9271164,,18
4590,KRX한국거래소(2),영등포구,영등포구 여의나루로 76,,37.52410507,126.9281082,,20
4591,신길자이아파트,영등포구,"영등포구 가마산로79길19
(신길자이@ 104동 쪽)",,37.50601196,126.9158859,,10
4592,신길우성4차아파트,영등포구,"영등포구 도신로
(신길우성4차 401동 앞)",,37.51283264,126.9176331,,14
4594,양평교 영등포대여소,영등포구,영등포구 양평동5가 51-1,,37.53972626,126.8903656,,7
4598,오목교 동측 지하보도,영등포구,영등포구 양평동2가 41-87,,37.52364349,126.8818359,,9
4599,대림우성아파트 사거리,영등포구,영등포구 양평동2가 41-87,,37.49484634,126.9002914,,9
4600,영등포구 총괄 우체국,영등포구,영등포구 당산동4가 93-6 앞,,37.52915192,126.8944778,,10
4601,양평역 2번 출구 뒤,영등포구,영등포로5길 50,,37.5255661,126.8858414,,10
5851,도림천 건널목 위,영등포구,영등포구 대림동 646-1,,37.50208282,126.8931885,,15
5852,대림동현대2차 201동 앞,영등포구,영등포구 대림동 640-2,,37.50300598,126.8938294,,7
5853,여의도역2번출구 앞,영등포구,여의도동 의사당대로 88,,37.52260971,126.9230118,,10
5854,신한금융투자 앞,영등포구,여의대로 70,,37.52508926,126.9240799,,26
5855,하이투자증권 앞,영등포구,여의대로 66,,37.52464294,126.9234238,,31
